,puntuacion usuarios,marca
11996,9.8,SONY
13241,9.7,SONY
11783,9.7,SONY
5370,9.6,SONY
14763,9.2,SONY
16593,9.2,SONY
16546,9.2,SONY
16042,9.2,SONY
16476,9.2,SONY
16586,9.2,SONY
14004,9.2,SONY
16440,9.2,SONY
16552,9.2,SONY
8221,9.2,SONY
16114,9.2,SONY
13472,9.2,SONY
15658,9.1,SONY
16558,9.1,SONY
16405,9.1,SONY
16465,9.1,SONY
16334,9.1,SONY
16359,9.1,SONY
16357,9.1,SONY
15621,9.1,SONY
16023,9.1,SONY
14685,9.1,SONY
14609,9.1,SONY
16340,9.1,SONY
16438,9.1,SONY
15741,9.1,SONY
16580,9.1,SONY
16607,9.1,SONY
14377,9.1,SONY
13534,9.1,SONY
16473,9.0,SONY
8751,9.0,SONY
14790,9.0,SONY
2492,9.0,SONY
15236,9.0,SONY
11792,9.0,SONY
16608,9.0,SONY
16467,9.0,SONY
15606,9.0,SONY
4629,9.0,SONY
8132,9.0,SONY
16177,9.0,SONY
12932,9.0,SONY
15187,9.0,SONY
15751,9.0,SONY
16562,9.0,SONY
16264,9.0,SONY
15748,9.0,SONY
11430,9.0,SONY
16276,9.0,SONY
10424,9.0,SONY
13776,8.9,SONY
15818,8.9,SONY
16320,8.9,SONY
15042,8.9,SONY
14907,8.9,SONY
16074,8.9,SONY
15243,8.9,SONY
12379,8.9,SONY
16139,8.9,SONY
16087,8.9,SONY
16323,8.9,SONY
14648,8.9,SONY
14785,8.9,SONY
15227,8.9,SONY
16154,8.9,SONY
15069,8.9,SONY
16120,8.9,SONY
14653,8.9,SONY
16389,8.9,SONY
12991,8.9,SONY
16329,8.9,SONY
15256,8.9,SONY
15601,8.9,SONY
15181,8.9,SONY
10370,8.9,SONY
14501,8.9,SONY
2262,8.9,SONY
5718,8.9,SONY
16524,8.9,SONY
15966,8.9,SONY
15195,8.9,SONY
16291,8.9,SONY
16575,8.9,SONY
16037,8.9,SONY
12847,8.9,SONY
10643,8.9,SONY
15628,8.9,SONY
16451,8.9,SONY
15645,8.9,SONY
13028,8.9,SONY
3161,8.9,SONY
15222,8.9,SONY
16590,8.9,SONY
8775,8.9,SONY
10655,8.9,SONY
10653,8.9,SONY
15196,8.8,SONY
16170,8.8,SONY
10590,8.8,SONY
1610,8.8,SONY
16208,8.8,SONY
14341,8.8,SONY
10578,8.8,SONY
16197,8.8,SONY
13137,8.8,SONY
10716,8.8,SONY
8350,8.8,SONY
14470,8.8,SONY
15687,8.8,SONY
8367,8.8,SONY
16161,8.8,SONY
15201,8.8,SONY
10712,8.8,SONY
12391,8.8,SONY
14756,8.8,SONY
16125,8.8,SONY
11399,8.8,SONY
14490,8.8,SONY
12810,8.8,SONY
15992,8.8,SONY
15987,8.8,SONY
11427,8.8,SONY
15978,8.8,SONY
11450,8.8,SONY
5698,8.8,SONY
11459,8.8,SONY
7689,8.8,SONY
7340,8.8,SONY
7632,8.8,SONY
2092,8.8,SONY
14642,8.8,SONY
14915,8.8,SONY
7450,8.8,SONY
11831,8.8,SONY
6488,8.8,SONY
2502,8.8,SONY
4649,8.8,SONY
15668,8.8,SONY
8291,8.8,SONY
15665,8.8,SONY
15230,8.8,SONY
15234,8.8,SONY
8261,8.8,SONY
16096,8.8,SONY
14344,8.8,SONY
14172,8.8,SONY
8149,8.8,SONY
12919,8.8,SONY
2666,8.8,SONY
13670,8.8,SONY
2618,8.8,SONY
12892,8.8,SONY
4821,8.8,SONY
8178,8.8,SONY
7411,8.8,SONY
3833,8.8,SONY
14404,8.8,SONY
13312,8.8,SONY
3413,8.8,SONY
3348,8.8,SONY
16383,8.8,SONY
16536,8.8,SONY
5421,8.8,SONY
13772,8.8,SONY
13254,8.8,SONY
13249,8.8,SONY
13245,8.8,SONY
5416,8.8,SONY
16479,8.8,SONY
16560,8.8,SONY
14208,8.8,SONY
10239,8.8,SONY
8953,8.8,SONY
16413,8.8,SONY
10242,8.8,SONY
16414,8.8,SONY
13422,8.8,SONY
15770,8.8,SONY
15798,8.8,SONY
1316,8.8,SONY
16459,8.8,SONY
15792,8.8,SONY
15803,8.8,SONY
9748,8.8,SONY
9746,8.8,SONY
16446,8.8,SONY
16444,8.8,SONY
1421,8.8,SONY
15780,8.8,SONY
15043,8.8,SONY
13815,8.8,SONY
16568,8.8,SONY
6024,8.8,SONY
16615,8.8,SONY
16617,8.8,SONY
10384,8.8,SONY
10377,8.8,SONY
15714,8.8,SONY
15152,8.8,SONY
3047,8.8,SONY
13195,8.8,SONY
15707,8.8,SONY
5548,8.8,SONY
10441,8.8,SONY
16609,8.8,SONY
3910,8.8,SONY
4511,8.8,SONY
16582,8.8,SONY
13193,8.8,SONY
